,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
동별(1),동별(1),동별(1),합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계
동별(2),동별(2),동별(2),소계,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구
2021,발생 (건),소계,4951,192,171,176,191,205,155,213,168,146,140,173,160,262,242,151,223,173,118,208,129,259,231,391,263,211
2021.1,발생 (건),실화,4399,169,136,160,163,187,131,191,153,130,125,154,145,236,212,138,197,147,108,176,121,224,215,356,237,188
2021.2,발생 (건),방화,87,1,3,1,2,3,4,4,4,3,3,4,2,6,5,2,5,4,1,5,-,7,3,6,4,5
2021.3,발생 (건),기타,465,22,32,15,26,15,20,18,11,13,12,15,13,20,25,11,21,22,9,27,8,28,13,29,22,18
2021.4,소실,동수 (동수),468,-,47,6,14,33,9,4,7,41,3,17,18,4,15,8,37,-,2,2,16,43,18,36,55,33
2021.5,소실,이재가구수 (가구),282,1,6,40,9,6,12,7,72,-,2,7,11,8,4,7,1,26,1,2,6,25,9,13,3,4
2021.6,소실,면적 (m²),21723,390,1350,422,720,554,846,604,659,488,324,1108,882,354,556,307,560,2889,423,2052,206,1087,1758,1909,457,817
2021.7,피해액 (천원),소계,18268346,465499,2780374,296793,458412,889681,1209541,345257,493231,410205,219916,432605,875722,249728,591687,576094,559614,1765589,825255,913698,307365,562294,549807,1354949,788289,346741
2021.8,피해액 (천원),부동산,6872172,169588,686265,123439,156128,184833,281555,168024,303121,211977,146778,231336,340436,122287,229022,192645,196597,883333,170912,529638,100290,289865,213184,612282,228466,100171
2021.9,피해액 (천원),동산,11396174,295911,2094109,173354,302284,704848,927986,177233,190110,198228,73138,201269,535286,127441,362665,383449,363017,882256,654343,384060,207075,272429,336623,742667,559823,246570
2021.10,재산피해경감액 (천원),소계,336039670,21075683,19184807,3767112,10949317,5924256,5638290,30283582,4338974,2545392,24225187,44327213,1550627,14203941,4559973,3040677,17075512,21478152,3998605,27062367,4037972,6593390,3919904,40396155,13179557,2683025
2021.11,인명피해 (명),소계,317,12,16,5,5,12,18,13,50,19,6,13,11,7,9,5,14,8,10,8,12,19,9,17,6,13
2021.12,인명피해 (명),사망,37,-,-,-,-,2,3,1,4,5,-,1,3,-,2,2,2,1,2,-,3,2,-,2,1,1
2021.13,인명피해 (명),부상,280,12,16,5,5,10,15,12,46,14,6,12,8,7,7,3,12,7,8,8,9,17,9,15,5,12
2021.14,이재민수 (명),소계,597,3,8,56,13,15,26,3,185,-,7,21,32,11,8,16,42,27,1,5,9,35,25,35,7,7
2021.15,구조인원 (명),소계,383,3,13,5,11,7,70,4,16,21,7,3,32,4,16,6,9,12,1,6,2,30,31,36,19,5
